1.0,5.5,0.62,0.37,0.3,2.66,1.0,2
1.0,3.3,0.36,0.19,1.26,1.16,0.0,1
0.0,2.8,0.45,0.32,1.45,0.38,0.0,2
1.0,2.9,0.71,0.38,2.68,0.44,1.0,1
0.0,6.8,0.49,0.34,2.55,1.15,1.0,2
0.0,2.0,0.5,0.3,1.96,2.03,1.0,2
0.0,4.5,0.75,0.4,1.7,1.97,1.0,1
1.0,6.9,0.49,0.44,1.65,2.87,1.0,1
0.0,2.7,0.29,0.17,2.63,0.12,1.0,1
1.0,5.2,0.22,0.39,0.6,1.78,1.0,2
1.0,5.3,0.01,0.0,2.46,0.84,0.0,1
1.0,6.5,0.35,0.07,2.7,1.05,0.0,1
1.0,5.2,0.17,0.14,1.59,2.92,0.0,1
0.0,5.0,0.42,0.15,0.97,1.03,1.0,1
0.0,0.3,0.67,0.45,1.66,2.44,1.0,1
0.0,3.0,0.35,0.35,0.37,1.43,0.0,2
1.0,6.7,0.37,0.05,0.62,0.89,1.0,1
1.0,0.3,0.59,0.04,1.34,0.99,1.0,1
1.0,3.4,0.25,0.25,2.97,1.89,0.0,1
0.0,0.7,0.22,0.21,1.14,2.9,0.0,1
0.0,0.5,0.8,0.28,1.79,1.3,1.0,2
0.0,2.6,0.67,0.35,0.98,0.63,0.0,2
0.0,5.1,0.51,0.49,2.07,1.83,0.0,1
0.0,2.9,0.31,0.06,2.05,2.87,0.0,1
0.0,3.9,0.78,0.1,0.54,1.57,0.0,1
1.0,4.3,0.01,0.44,1.22,2.65,0.0,1
0.0,1.3,0.87,0.45,1.69,2.34,0.0,1
1.0,3.3,0.83,0.46,0.98,2.34,1.0,1
1.0,3.6,0.22,0.13,0.29,1.55,1.0,1
1.0,0.6,0.77,0.35,0.79,0.88,1.0,1
1.0,0.2,0.3,0.2,2.38,0.69,0.0,1
0.0,0.2,0.53,0.36,1.1,0.14,1.0,2
0.0,3.3,0.49,0.4,2.94,0.18,1.0,2
0.0,6.2,0.19,0.16,1.64,1.31,0.0,1
1.0,1.1,0.71,0.42,1.73,0.98,1.0,1
1.0,4.8,0.25,0.38,0.77,0.67,0.0,2
1.0,1.4,0.66,0.16,2.42,1.13,0.0,2
1.0,6.9,0.04,0.3,0.06,2.23,1.0,1
0.0,6.9,0.43,0.46,1.93,0.26,1.0,1
0.0,2.1,0.71,0.49,0.61,2.29,1.0,1
0.0,1.9,0.99,0.21,2.78,2.79,1.0,2
0.0,4.2,0.65,0.03,0.36,2.78,1.0,1
0.0,6.1,1.0,0.35,2.59,2.88,0.0,1
0.0,3.0,0.58,0.03,1.9,2.93,1.0,1
0.0,7.0,0.3,0.33,2.48,1.67,1.0,2
1.0,5.3,0.11,0.0,0.64,2.5,0.0,1
0.0,0.8,0.45,0.48,1.17,2.45,0.0,1
1.0,2.5,0.13,0.38,0.34,2.67,0.0,1
0.0,2.9,0.69,0.06,2.78,1.09,0.0,1
0.0,0.6,0.99,0.23,0.57,1.77,0.0,2
1.0,1.1,0.64,0.5,2.56,0.97,0.0,1
0.0,6.9,0.94,0.1,1.13,0.77,0.0,2
0.0,5.9,0.36,0.5,1.25,0.76,1.0,1
0.0,6.6,0.26,0.45,1.4,2.75,1.0,2
0.0,6.3,0.13,0.25,0.8,1.16,1.0,1
0.0,6.2,0.72,0.14,2.52,2.65,1.0,2
0.0,3.0,0.69,0.42,2.95,2.96,1.0,1
0.0,3.2,0.25,0.16,0.62,0.83,1.0,1
0.0,0.2,0.88,0.21,1.0,2.54,0.0,2
1.0,5.2,0.84,0.12,0.41,0.16,0.0,2
0.0,5.6,0.31,0.33,2.85,2.65,1.0,2
0.0,1.2,0.84,0.2,0.89,1.55,0.0,2
1.0,5.7,0.0,0.31,1.07,0.31,1.0,1
0.0,6.5,0.48,0.33,2.68,1.07,1.0,2
1.0,1.1,0.22,0.21,0.81,2.69,0.0,1
0.0,5.2,0.58,0.42,2.78,0.29,0.0,1
1.0,2.7,0.09,0.43,2.04,0.5,0.0,1
0.0,6.6,0.84,0.07,0.63,2.95,1.0,1
0.0,3.7,0.57,0.37,0.7,1.29,1.0,2
0.0,2.9,0.62,0.07,2.46,0.04,0.0,1
0.0,4.5,0.24,0.09,0.26,0.24,0.0,1
1.0,2.3,0.76,0.05,2.56,0.91,0.0,1
1.0,5.2,0.93,0.49,1.14,2.08,0.0,1
1.0,5.9,0.7,0.0,0.94,0.97,0.0,1
0.0,4.5,0.03,0.39,2.7,2.28,0.0,1
1.0,3.0,0.13,0.35,1.47,0.47,1.0,1
1.0,5.5,0.25,0.0,1.82,0.85,1.0,1
0.0,1.2,0.13,0.23,1.79,1.53,0.0,1
1.0,2.4,0.92,0.07,0.28,0.89,0.0,1
1.0,0.3,0.26,0.23,1.02,1.06,1.0,1
1.0,3.1,0.64,0.48,1.18,0.96,0.0,1
0.0,2.9,0.04,0.03,0.0,2.79,1.0,1
0.0,1.0,0.57,0.32,0.49,1.86,1.0,2
