0.42,0.43,1.68,2.35,0.4,4
0.71,0.52,1.5,1.83,0.1,2
0.63,0.46,1.03,2.73,0.3,3
0.12,0.74,0.69,0.72,0.4,4
0.08,0.43,0.21,1.72,0.2,2
0.63,-0.02,1.7,0.94,0.2,2
0.6,0.8,2.23,0.29,0.2,4
0.68,0.26,2.29,2.08,0.3,3
0.5,0.9,0.71,1.09,0.3,4
0.02,-0.06,2.07,1.49,0.3,3
0.44,0.7,2.18,3.35,0.2,4
0.9,0.09,2.2,0.48,0.4,3
0.69,-0.06,0.11,3.66,0.4,3
0.78,0.25,1.56,0.32,0.1,1
0.57,0.14,2.4,3.47,0.4,3
0.35,0.91,2.64,1.16,0.1,4
0.34,0.48,2.03,1.81,0.0,2
0.98,0.65,1.41,0.34,0.2,4
0.21,0.8,2.82,0.19,0.3,4
0.52,0.76,2.54,3.16,0.4,4
0.08,-0.05,2.3,3.49,0.0,4
0.15,-0.05,1.44,3.22,0.2,3
0.04,0.57,1.87,0.76,0.0,2
0.4,0.8,0.56,2.78,0.4,4
0.64,0.39,2.45,3.5,0.3,3
0.57,0.43,0.95,0.02,0.2,1
0.94,-0.09,1.24,2.07,0.1,3
0.82,0.47,0.61,1.52,0.1,2
0.43,0.48,2.99,2.45,0.1,4
0.48,0.52,0.23,3.59,0.0,2
0.74,0.42,2.96,0.03,0.2,4
0.38,0.1,0.86,2.92,0.0,1
0.46,0.79,0.34,1.43,0.4,4
0.72,0.87,0.33,2.18,0.1,4
0.45,0.31,1.53,0.92,0.1,1
0.67,0.19,1.41,2.58,0.4,3
0.12,0.7,1.39,3.64,0.0,4
0.64,0.95,2.16,2.78,0.3,4
0.7,0.03,1.24,1.35,0.1,2
0.89,0.77,2.58,1.96,0.1,4
0.44,0.48,1.36,1.63,0.2,3
0.27,0.2,0.45,0.2,0.1,0
0.43,0.16,0.99,0.11,0.3,1
0.09,0.85,2.05,2.25,0.2,4
0.18,0.72,0.11,2.18,0.0,4
0.75,0.81,0.13,3.3,0.3,4
0.87,0.2,0.67,0.65,0.0,0
0.1,0.96,1.14,0.11,0.3,4
0.76,0.79,2.02,3.61,0.3,4
0.01,0.06,1.19,0.14,0.1,1
0.55,0.45,1.55,2.67,0.0,2
0.97,0.1,0.02,0.63,0.0,0
0.6,-0.06,2.71,1.64,0.1,4
0.25,0.86,1.52,3.0,0.4,4
0.12,0.53,2.75,2.88,0.4,4
0.54,0.29,0.33,2.42,0.4,2
0.25,0.28,1.05,1.22,0.1,1
0.4,0.02,2.08,2.87,0.2,3
0.1,0.62,2.81,0.38,0.0,4
0.25,0.46,1.62,2.12,0.4,3
0.47,0.94,1.19,1.29,0.1,4
0.36,0.33,0.07,2.95,0.4,2
0.55,0.53,1.8,3.99,0.0,3
0.21,0.91,1.25,0.24,0.4,4
0.86,0.53,1.15,3.63,0.0,3
0.64,0.91,1.43,3.68,0.0,4
0.16,0.63,1.16,3.94,0.0,4
0.68,0.91,1.42,0.3,0.2,4
0.96,0.32,2.66,3.84,0.0,4
0.77,0.38,0.43,3.26,0.4,3
0.59,0.44,1.3,1.48,0.4,3
0.78,0.11,2.32,3.59,0.2,3
0.62,0.89,1.23,2.12,0.0,4
0.46,0.0,1.26,3.67,0.0,3
0.48,0.56,1.07,3.95,0.3,3
0.45,0.9,2.34,3.84,0.4,4
0.93,0.75,2.02,3.29,0.2,4
0.63,-0.08,1.95,3.26,0.0,3
0.42,0.47,0.95,2.94,0.3,3
0.2,0.65,1.55,2.82,0.2,4
0.97,0.87,0.81,3.69,0.1,4
0.92,0.34,1.88,3.77,0.2,4
0.32,0.37,0.13,1.67,0.0,0
0.73,0.67,1.22,0.63,0.4,4
0.3,0.57,1.62,1.24,0.3,3
0.22,0.46,1.12,3.98,0.1,3
0.02,0.88,0.32,0.85,0.2,4
